               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.034507,            0.010691,           0.0077767,             0.92852,             0.91864,             0.95661,             0.57011,            0.030605,           0.0069932,           0.0070944,            0.007624,            0.007624,            0.007624
                 122,            0.035008,            0.010767,           0.0085271,             0.92831,             0.92058,             0.94679,              0.5502,            0.032648,           0.0070657,           0.0079288,           0.0076042,           0.0076042,           0.0076042
                 123,            0.034347,            0.011703,           0.0075787,             0.91565,             0.93707,             0.94673,             0.54029,            0.033638,           0.0070577,            0.007576,           0.0075844,           0.0075844,           0.0075844
                 124,            0.034883,            0.010947,           0.0075837,             0.96805,              0.9236,             0.95868,              0.5636,            0.030178,           0.0070359,           0.0065613,           0.0075646,           0.0075646,           0.0075646
                 125,             0.03334,            0.010692,           0.0081009,              0.9575,             0.96119,             0.97073,             0.58435,            0.028983,           0.0068175,           0.0064335,           0.0075448,           0.0075448,           0.0075448
                 126,            0.034238,            0.010301,           0.0064304,             0.92586,             0.93453,             0.95896,             0.53601,            0.030553,           0.0068659,           0.0067158,            0.007525,            0.007525,            0.007525
                 127,            0.032778,            0.011209,           0.0073314,             0.94754,             0.95927,             0.97538,             0.59744,            0.029884,           0.0067603,           0.0062504,           0.0075052,           0.0075052,           0.0075052
                 128,            0.033638,            0.010432,           0.0071205,             0.93187,             0.91691,             0.96319,              0.5896,            0.029304,           0.0067877,           0.0062523,           0.0074854,           0.0074854,           0.0074854
                 129,            0.031955,            0.010439,           0.0064662,               0.952,             0.93453,             0.97409,             0.59114,            0.028532,           0.0066209,           0.0061636,           0.0074656,           0.0074656,           0.0074656
                 130,            0.032819,           0.0098047,           0.0069406,             0.96127,             0.90769,              0.9502,             0.55771,            0.029892,           0.0066628,           0.0091896,           0.0074458,           0.0074458,           0.0074458
                 131,            0.033072,            0.010658,           0.0068129,             0.93227,             0.94516,             0.96486,             0.57473,            0.030368,           0.0068167,           0.0073719,            0.007426,            0.007426,            0.007426
                 132,            0.033939,           0.0099108,           0.0068311,              0.9726,             0.93969,             0.97813,             0.60269,            0.029283,            0.006774,           0.0052919,           0.0074062,           0.0074062,           0.0074062
                 133,            0.033803,            0.010575,           0.0066398,             0.93412,             0.92753,             0.97944,             0.59194,             0.02875,           0.0068377,           0.0057907,           0.0073864,           0.0073864,           0.0073864
                 134,            0.033077,            0.012373,           0.0059393,             0.93275,             0.94148,              0.9806,             0.57876,            0.029106,           0.0068691,           0.0052547,           0.0073666,           0.0073666,           0.0073666
                 135,            0.031811,            0.010997,           0.0059655,             0.94022,             0.92253,             0.98077,             0.62937,            0.029548,            0.006932,           0.0049829,           0.0073468,           0.0073468,           0.0073468
                 136,            0.032833,            0.010908,           0.0060837,             0.95445,             0.91035,             0.97053,             0.63349,            0.028751,           0.0068893,           0.0052996,            0.007327,            0.007327,            0.007327
                 137,            0.033682,            0.010271,           0.0066024,             0.97035,             0.90944,             0.97541,             0.60306,            0.028258,           0.0068199,           0.0048819,           0.0073072,           0.0073072,           0.0073072
                 138,            0.032406,           0.0091331,           0.0062578,             0.89017,             0.96458,             0.98162,             0.58355,            0.029362,           0.0068619,           0.0064898,           0.0072874,           0.0072874,           0.0072874
                 139,            0.031861,            0.010739,            0.005983,             0.93862,             0.94266,             0.96822,             0.58516,            0.027223,           0.0068191,           0.0076752,           0.0072676,           0.0072676,           0.0072676
                 140,            0.031854,            0.011089,           0.0059031,             0.91835,             0.94428,             0.96486,             0.54343,            0.029508,           0.0069392,           0.0080051,           0.0072478,           0.0072478,           0.0072478
                 141,            0.032141,            0.011292,           0.0054581,             0.94112,             0.91656,             0.96654,             0.61147,            0.027312,            0.006778,           0.0078068,            0.007228,            0.007228,            0.007228
                 142,            0.033217,            0.011296,            0.006324,             0.90987,             0.95193,             0.96438,             0.60501,            0.028227,           0.0068506,           0.0067863,           0.0072082,           0.0072082,           0.0072082
                 143,            0.031375,            0.010589,            0.005599,             0.93782,             0.96155,             0.96786,             0.59461,            0.026602,           0.0067386,           0.0062046,           0.0071884,           0.0071884,           0.0071884
                 144,            0.031205,            0.010588,           0.0058107,             0.94242,             0.96183,             0.97871,             0.61113,            0.026037,              0.0066,           0.0056019,           0.0071686,           0.0071686,           0.0071686
                 145,             0.03157,            0.010065,           0.0058879,             0.94554,             0.96874,             0.97554,             0.61878,             0.02718,           0.0066419,            0.005724,           0.0071488,           0.0071488,           0.0071488
